id,gameId,teamId,participantId,profileIcon,summonerName,championId,highestAchievedSeasonTier,spell1Id,spell2Id,assists,champLevel,combatPlayerScore,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,lane,role
1250501,1250291,200,10,16,ITZ Jockster,412,UNRANKED,4,3,8,15,0,5,0,0,0,0,0,1,0,10992,10095,0,3190,2303,3222,2043,1057,3009,3364,0,1,0,0,1,00:17:02,20337,4232,8415,0,0,0,0,0,10110,968,9656,0,0,30447,5201,19882,3333,46,0,0,00:02:03,4,0,0,0,1810,0,0,17,11,53,0,JUNGLE,NONE
1250512,1250306,200,6,657,RED Ayel,78,UNRANKED,4,12,1,14,0,2,0,0,0,0,0,0,0,8651,8150,0,2033,1031,3155,3751,1308,3065,3363,0,0,0,0,0,00:17:04,21434,2107,5674,5,0,5,0,0,97032,9984,14370,0,0,118466,12091,20044,2345,207,0,0,00:45:18,1,0,0,0,0,0,0,4,9,15,0,TOP,SOLO
1250513,1250306,200,7,657,RED Caos,421,UNRANKED,4,11,1,12,0,3,0,0,1,0,0,0,0,8248,7475,0,1409,3143,2031,3009,1033,0,3364,1,2,0,2,1,00:09:30,31520,2888,6052,72,2,70,0,0,55044,2338,18873,0,0,99325,5371,25105,10575,41,0,0,00:08:47,1,0,12761,144,180,0,0,8,19,24,0,JUNGLE,NONE
1250514,1250306,200,8,657,RED Brucer,7,UNRANKED,4,14,0,14,0,0,0,0,0,0,0,0,0,9548,8835,0,3089,3020,1052,1056,0,3165,3363,1,2,0,2,1,00:00:00,101346,9732,2730,10,0,10,0,0,20697,940,9052,0,0,122299,10928,11783,1847,231,0,0,00:00:55,1,0,256,256,0,0,0,4,7,16,0,MIDDLE,SOLO
1250515,1250306,200,9,657,RED SacyR,429,UNRANKED,7,4,3,12,0,5,0,0,0,0,0,0,0,8367,7450,0,1055,3153,3009,3085,0,0,3363,0,0,259,0,0,00:10:44,1776,351,5400,3,0,3,0,0,81822,5893,8621,0,0,84706,6244,14850,2373,198,0,0,00:07:27,4,0,1108,0,828,0,0,0,3,9,0,BOTTOM,DUO_CARRY
1250516,1250306,200,10,657,RED Eryon,412,UNRANKED,4,14,4,10,0,4,0,0,0,0,0,0,0,5972,5625,0,3105,3009,2303,2010,2043,0,3364,0,0,0,0,0,00:13:50,11318,3342,3782,0,0,0,0,0,4261,320,8972,0,0,16390,4472,12755,1323,33,0,0,00:01:43,4,0,810,810,0,0,0,9,7,29,0,BOTTOM,DUO_SUPPORT
1250517,1250307,200,10,28,VFK Verfix,432,UNRANKED,4,14,9,16,0,2,0,0,0,1,0,0,0,14640,15170,0,2043,3222,3190,2301,1057,1332,3364,0,1,0,0,1,00:26:14,39509,9325,9826,5,3,2,0,0,15030,1932,10616,0,0,56037,12305,21083,10433,35,0,0,00:06:35,5,0,1497,1047,640,2,0,16,12,53,1,BOTTOM,DUO_SUPPORT
1250532,1250326,200,6,22,CNB Aoshi,80,UNRANKED,4,12,6,18,0,2,0,0,0,0,0,0,1,16841,15800,0,3044,3142,3053,3139,3033,3111,3363,1,3,1194,2,1,00:20:00,8942,2767,13902,7,2,5,0,0,259721,17029,20544,0,0,269900,19796,34937,7840,343,0,0,00:00:40,1,0,1237,0,490,1,0,2,8,20,1,JUNGLE,NONE
1250533,1250326,200,7,22,CNB Nappon,203,UNRANKED,4,11,8,17,0,2,0,0,0,0,0,0,0,14291,12625,1,3153,1408,3009,3052,1028,3156,3364,0,0,0,0,0,00:24:50,5036,5,8056,98,17,81,0,0,170463,12402,24780,0,0,193877,12715,33133,22025,54,0,0,00:03:55,10,0,18377,308,297,0,0,7,21,25,1,JUNGLE,NONE
1250534,1250326,200,8,22,CNB Vash,34,UNRANKED,12,4,11,18,0,1,0,0,0,0,0,0,0,18997,17925,0,3040,3089,3151,3001,3027,1333,3363,2,4,1302,2,1,00:26:01,312933,30474,14150,38,7,31,0,0,18311,593,7759,0,0,331244,31067,22102,7439,399,0,0,01:25:01,1,0,0,0,192,2,0,5,11,24,1,MIDDLE,SOLO
