id,gameId,teamId,championIdBan1,championIdBan2,championIdBan3,towerKills,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,vilemawKills,win
1270331,1270131,200,111,42,133,5,0,0,2,0,1,1,0,1,1,0,1,0,Fail
1270335,1270135,200,111,79,42,5,0,0,2,0,0,1,0,1,1,0,1,0,Fail
1270378,1270178,200,33,127,42,3,1,0,2,0,1,0,0,0,1,0,0,0,Fail
1270386,1270186,200,33,238,114,3,0,0,2,0,0,0,0,0,1,0,0,0,Fail
1270399,1270199,200,117,201,429,6,0,0,0,0,1,0,1,1,0,1,2,0,Fail
1280216,1280116,100,7,117,127,4,0,0,1,0,1,0,0,0,0,0,0,0,Fail
1280218,1280118,100,201,117,26,7,0,0,4,0,1,0,1,1,0,1,1,0,Fail
1280219,1280119,100,7,117,33,9,2,0,5,1,1,0,1,1,1,1,2,0,Win
1280228,1280128,100,99,201,78,5,0,0,1,0,0,0,0,1,0,0,2,0,Fail
1280246,1280146,100,33,238,127,8,1,0,4,1,1,1,1,1,1,1,1,0,Win
1280316,1280116,200,201,79,429,9,1,0,3,1,0,1,1,1,1,1,2,0,Win
1280318,1280118,200,7,127,429,10,3,0,3,1,0,1,0,0,1,3,0,0,Win
1280319,1280119,200,201,79,429,2,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1280328,1280128,200,33,42,127,9,1,0,4,1,1,1,1,0,1,1,0,0,Win
1280346,1280146,200,78,117,201,3,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1290125,1290025,100,42,76,201,11,0,0,2,0,1,0,1,0,1,4,2,0,Win
1290126,1290026,100,238,133,429,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1290225,1290025,200,429,133,238,2,0,0,1,0,0,1,0,1,0,0,1,0,Fail
1290226,1290026,200,42,117,127,11,1,0,3,1,1,1,1,1,1,3,2,0,Win
1300125,1300025,100,42,76,201,11,0,0,3,0,1,0,1,0,0,3,1,0,Win
1300134,1300034,100,127,114,79,11,2,0,2,1,1,0,1,1,0,4,1,0,Win
1300135,1300035,100,238,12,429,10,2,0,5,0,0,0,1,1,0,2,1,0,Win
1300136,1300036,100,127,114,79,10,0,0,2,0,1,0,1,1,1,3,1,0,Win
1300137,1300037,100,238,12,429,4,0,0,4,0,1,1,0,0,0,0,1,0,Fail
1300225,1300025,200,133,429,238,2,0,0,1,0,0,1,0,1,1,0,1,0,Fail
1300234,1300034,200,76,12,429,3,0,0,3,0,0,1,0,0,1,0,1,0,Fail
1300235,1300035,200,127,114,79,7,1,0,1,1,1,1,0,0,1,0,1,0,Fail
1300236,1300036,200,12,429,201,3,1,0,2,1,0,1,0,0,0,0,0,0,Fail
1300237,1300037,200,127,114,79,8,1,0,1,1,0,0,1,1,1,1,1,0,Win
1370290,1370190,100,51,26,268,11,1,0,2,1,1,1,1,1,1,3,2,0,Win
1370304,1370204,100,203,48,12,9,2,0,4,1,1,1,1,0,1,2,1,0,Win
1370315,1370215,100,76,268,15,9,1,0,3,1,1,0,1,1,1,1,2,0,Win
1370320,1370220,100,48,26,236,8,1,0,1,1,0,0,1,0,0,1,0,0,Win
1370390,1370190,200,203,201,12,1,0,0,1,0,0,0,0,0,0,0,0,0,Fail
1370404,1370204,200,51,26,57,3,0,0,1,0,0,0,0,1,0,0,1,0,Fail
1370415,1370215,200,48,13,12,2,0,0,2,0,0,1,0,0,0,0,1,0,Fail
1370420,1370220,200,12,76,15,3,0,0,4,0,1,1,0,1,1,0,1,0,Fail
1380176,1380076,100,203,48,245,8,1,0,3,1,1,1,1,0,1,1,0,0,Win
1380180,1380080,100,12,268,76,8,1,0,2,1,1,0,1,1,1,1,2,0,Win
1380203,1380103,100,57,15,16,3,0,0,0,0,1,0,0,0,0,0,1,0,Fail
1380207,1380107,100,201,51,13,11,0,0,1,0,1,0,1,1,1,3,2,0,Win
1380249,1380149,100,60,48,34,2,0,0,0,0,0,0,0,0,1,0,0,0,Fail
1380253,1380153,100,13,76,12,8,2,0,6,0,0,0,0,1,1,3,2,0,Win
1380265,1380165,100,268,15,51,6,0,0,2,0,0,0,0,0,1,0,0,0,Fail
1380269,1380169,100,76,236,13,3,0,0,2,0,0,0,0,0,1,0,0,0,Fail
1380276,1380076,200,12,15,76,3,0,0,1,0,0,0,0,1,0,0,2,0,Fail
1380280,1380080,200,203,48,245,0,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1380303,1380103,200,12,51,13,9,0,0,4,0,0,1,1,1,1,1,1,0,Win
1380307,1380107,200,245,15,48,0,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1380320,1380220,100,26,48,76,9,1,0,3,1,1,1,1,0,0,1,0,0,Win
1380322,1380222,100,268,15,57,7,1,0,3,1,1,0,1,1,1,1,2,0,Fail
1380334,1380234,100,236,76,432,9,1,0,1,1,1,0,1,1,1,1,2,0,Win
1380338,1380238,100,26,110,48,3,0,0,1,0,0,0,0,0,0,0,0,0,Fail
1380349,1380149,200,76,12,13,10,1,0,3,1,1,1,1,0,0,2,0,0,Win
1380353,1380153,200,432,57,48,9,2,0,2,1,1,1,1,0,0,3,0,0,Fail
1380365,1380165,200,76,12,48,9,1,0,2,1,1,1,1,1,0,1,1,0,Win
1380369,1380169,200,268,12,15,10,3,0,4,1,1,1,1,1,0,2,3,0,Win
1380420,1380220,200,268,57,12,4,0,0,1,0,0,0,0,0,1,0,0,0,Fail
1380422,1380222,200,26,48,12,10,1,0,3,0,0,1,0,0,0,3,0,0,Win
1380434,1380234,200,26,12,48,8,0,0,4,0,0,1,0,0,0,1,0,0,Fail
1380438,1380238,200,12,76,432,7,1,0,2,1,1,1,1,1,1,1,1,0,Win
1390120,1390020,100,245,48,13,2,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1390125,1390025,100,12,76,236,7,2,0,4,1,1,1,1,0,0,1,0,0,Fail
1390144,1390044,100,51,48,60,11,1,0,4,1,1,0,1,0,1,3,0,0,Win
1390147,1390047,100,268,203,13,4,1,0,0,1,0,0,0,0,1,0,0,0,Fail
1390171,1390071,100,236,105,48,2,0,0,1,0,0,0,0,0,0,0,0,0,Fail
1390176,1390076,100,60,203,13,10,1,0,2,1,0,0,1,1,1,2,1,0,Win
1390220,1390020,200,12,76,114,11,2,0,5,1,1,1,1,1,1,6,1,0,Win
1390225,1390025,200,13,203,48,7,1,0,1,0,0,0,0,0,1,1,0,0,Win
1390244,1390044,200,236,203,13,2,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1390247,1390047,200,51,236,76,9,1,0,4,0,1,1,1,1,0,1,1,0,Win
1390271,1390071,200,60,203,13,9,2,0,3,1,1,1,1,1,1,1,1,0,Win
1390276,1390076,200,236,48,110,3,0,0,2,0,1,1,0,0,0,0,0,0,Fail
1390337,1390237,100,8,48,13,7,1,0,2,0,0,1,0,0,0,0,0,0,Fail
1390345,1390245,100,268,7,13,10,2,0,1,1,0,0,0,0,1,2,0,0,Win
1390358,1390258,100,268,76,13,2,0,0,1,0,0,0,0,0,1,0,0,0,Fail
1390360,1390260,100,203,8,50,9,0,0,3,0,1,0,1,0,1,1,0,0,Win
1390437,1390237,200,268,203,238,11,2,0,3,1,1,0,1,0,1,3,0,0,Win
1390445,1390245,200,8,203,26,9,1,0,5,0,1,1,1,0,0,3,0,0,Fail
1390458,1390258,200,203,8,57,11,3,0,4,1,1,1,1,0,0,3,0,0,Win
1390460,1390260,200,13,268,76,3,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1400166,1400066,100,13,48,245,5,0,0,1,0,1,0,0,1,1,0,1,0,Fail
1400175,1400075,100,26,203,48,11,2,0,4,1,0,1,1,1,1,3,1,0,Win
1400266,1400066,200,26,203,236,11,2,0,5,1,0,1,1,0,0,4,0,0,Win
1400275,1400075,200,13,236,245,3,0,0,0,0,1,0,0,0,0,0,0,0,Fail
1400315,1400215,100,90,114,50,10,2,0,4,1,1,1,1,0,0,4,0,0,Fail
1400318,1400218,100,16,8,203,1,0,0,0,0,0,0,0,0,1,0,0,0,Fail
1400331,1400231,100,60,51,432,11,1,0,3,1,1,1,1,1,1,3,1,0,Win
1400334,1400234,100,44,50,57,2,0,0,2,0,1,1,0,1,0,0,1,0,Fail
1400415,1400215,200,57,203,13,7,0,0,1,0,0,0,0,1,1,1,1,0,Win
